2026-08-19 05:40:13.856 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:13.856 | info | dpnds77kkzezoy | ==========\n
2026-08-19 05:40:13.856 | info | dpnds77kkzezoy | == CUDA ==\n
2026-08-19 05:40:13.856 | info | dpnds77kkzezoy | ==========\n
2026-08-19 05:40:13.856 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:13.856 | info | dpnds77kkzezoy | CUDA Version 12.4.1\n
2026-08-19 05:40:13.856 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:13.856 | info | dpnds77kkzezoy | Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.\n
2026-08-19 05:40:13.856 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:13.856 | info | dpnds77kkzezoy | This container image and its contents are governed by the NVIDIA Deep Learning Container License.\n
2026-08-19 05:40:13.856 | info | dpnds77kkzezoy | By pulling and using the container, you accept the terms and conditions of this license:\n
2026-08-19 05:40:13.856 | info | dpnds77kkzezoy | https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license\n
2026-08-19 05:40:13.856 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:13.856 | info | dpnds77kkzezoy | A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.\n
2026-08-19 05:40:13.856 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:13.856 | info | dpnds77kkzezoy | Traceback (most recent call last):\n
2026-08-19 05:40:14.009 | info | dpnds77kkzezoy |   File "/app/runpod/serverless_handler.py", line 16, in <module>\n
2026-08-19 05:40:14.010 | info | dpnds77kkzezoy |     from runpod.image_utils import base64_to_pil, pil_to_base64\n
2026-08-19 05:40:14.010 | info | dpnds77kkzezoy | ModuleNotFoundError: No module named 'runpod.image_utils'\n
2026-08-19 05:40:14.375 | error | dpnds77kkzezoy | worker exited with exit code 1
2026-08-19 05:40:21.142 | error | dpnds77kkzezoy | worker exited with exit code 1
2026-08-19 05:40:24.148 | info | dpnds77kkzezoy | Traceback (most recent call last):\n
2026-08-19 05:40:24.148 | info | dpnds77kkzezoy |   File "/app/runpod/serverless_handler.py", line 16, in <module>\n
2026-08-19 05:40:24.148 | info | dpnds77kkzezoy |     from runpod.image_utils import base64_to_pil, pil_to_base64\n
2026-08-19 05:40:24.148 | info | dpnds77kkzezoy | ModuleNotFoundError: No module named 'runpod.image_utils'\n
2026-08-19 05:40:24.148 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:24.148 | info | dpnds77kkzezoy | ==========\n
2026-08-19 05:40:24.148 | info | dpnds77kkzezoy | == CUDA ==\n
2026-08-19 05:40:24.148 | info | dpnds77kkzezoy | ==========\n
2026-08-19 05:40:24.148 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy | CUDA Version 12.4.1\n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy | Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.\n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy | This container image and its contents are governed by the NVIDIA Deep Learning Container License.\n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy | By pulling and using the container, you accept the terms and conditions of this license:\n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy | https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license\n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy | A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.\n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy | Traceback (most recent call last):\n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy |   File "/app/runpod/serverless_handler.py", line 16, in <module>\n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy |     from runpod.image_utils import base64_to_pil, pil_to_base64\n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy | ModuleNotFoundError: No module named 'runpod.image_utils'\n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy | ==========\n
2026-08-19 05:40:24.149 | info | dpnds77kkzezoy | == CUDA ==\n
2026-08-19 05:40:24.150 | info | dpnds77kkzezoy | ==========\n
2026-08-19 05:40:24.150 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:24.150 | info | dpnds77kkzezoy | CUDA Version 12.4.1\n
2026-08-19 05:40:24.150 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:24.150 | info | dpnds77kkzezoy | Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.\n
2026-08-19 05:40:24.150 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:24.150 | info | dpnds77kkzezoy | This container image and its contents are governed by the NVIDIA Deep Learning Container License.\n
2026-08-19 05:40:24.150 | info | dpnds77kkzezoy | By pulling and using the container, you accept the terms and conditions of this license:\n
2026-08-19 05:40:24.150 | info | dpnds77kkzezoy | https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license\n
2026-08-19 05:40:24.150 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:24.150 | info | dpnds77kkzezoy | A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.\n
2026-08-19 05:40:24.150 | info | dpnds77kkzezoy | \n
2026-08-19 05:40:24.150 | info | dpnds77kkzezoy | Traceback (most recent call last):\n
2026-08-19 05:40:24.284 | info | dpnds77kkzezoy |   File "/app/runpod/serverless_handler.py", line 16, in <module>\n
2026-08-19 05:40:24.284 | info | dpnds77kkzezoy |     from runpod.image_utils import base64_to_pil, pil_to_base64\n
2026-08-19 05:40:24.284 | info | dpnds77kkzezoy | ModuleNotFoundError: No module named 'runpod.image_utils'\n
2026-08-19 05:40:26.879 | error | dpnds77kkzezoy | worker exited with exit code 1
2026-08-19 05:51:39.184 | info | 54bpmam13pbcom | \n
2026-08-19 05:51:39.184 | info | 54bpmam13pbcom | ==========\n
2026-08-19 05:51:39.184 | info | 54bpmam13pbcom | == CUDA ==\n
2026-08-19 05:51:39.184 | info | 54bpmam13pbcom | ==========\n
2026-08-19 05:51:39.184 | info | 54bpmam13pbcom | \n
2026-08-19 05:51:39.184 | info | 54bpmam13pbcom | CUDA Version 12.4.1\n
2026-08-19 05:51:39.184 | info | 54bpmam13pbcom | \n
2026-08-19 05:51:39.184 | info | 54bpmam13pbcom | Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.\n
2026-08-19 05:51:39.184 | info | 54bpmam13pbcom | \n
